Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Brandon Hill Loop,-6.955507814,52.54087052,Kilkenny,Graiguenamanagh,Republic of Ireland,"Walking,Natural Landscape"
Muckross Lake Loop and Torc Waterfall,-9.5042922,52.0180827,Kerry,Killarney,Ireland,"Walking,National Park,National and Forest Park"
The Westmeath Way,-7.31712,53.525,Westmeath,Kilbeggan,Republic of Ireland,"Walking,Natural Landscape"
Listowel River Walk,-9.483925274,52.44712012,Kerry,Listowel,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Public Park,Nature and Wildlife,Public Sculpture"
Ballybunion 'Walking the Beach' Looped Walk,-9.671727706,52.52350188,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Ballybunion Cliff Walk,-9.671728047,52.52351087,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Ballybunion Lahardane Walk,-9.653116507,52.50812603,Kerry,Ballybunion,Republic of Ireland,"Walking,Natural Landscape"
Glenbarrow - Old Mill Loop,-7.525643758,53.14970792,Laois,Clonaslee,Republic of Ireland,"Walking,Natural Landscape"
Rosses Point Coastal Walk,-8.557107709,54.30834572,Sligo,Rosses Point,Republic of Ireland,"Walking,Natural Landscape,Public Sculpture"
Balrath Wood,-6.952315923,53.70557053,Meath,Balrath,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Castlemorris - Fern Loop,-7.212819444,52.48398887,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Piltown - Mountain Grove Loop,-7.341113595,52.35373178,Kilkenny,,Ireland,"Walking,Natural Landscape"
Drewstown Woods - Girley Bog Loop,-6.933382333,53.67406282,Meath,Kells,Ireland,"Walking,Natural Landscape"
Fawnglass Loop,-9.988141954,53.79245548,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Lough Coolaknick Loop,-10.10662833,53.70346375,Mayo,Inishturk,Republic of Ireland,"Walking,Island,Offshore Island"
Rath Beag Loop,-7.5833235,52.3136618,Waterford,,Ireland,"Walking,Natural Landscape"
Lough Mohra Loop,-7.586282641,52.31987444,Waterford,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Glanageenty Loop,-9.458949696,52.23297151,Kerry,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Jenkinstown Wood - Walled Garden Loop,-7.289804987,52.73050689,Kilkenny,Jenkinstown,Ireland,"Walking,Gardens,Garden,Natural Landscape"
Jenkinstown Wood Loop,-7.284483484,52.73116958,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Crone Woods - Maulin Mountain Loop,-6.217855,53.165044,Wicklow,,Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Donadea Forest Park - Aylmer Loop,-6.772923027,53.32844446,Kildare,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Castlecomer - Captain's Loop,-7.203400214,52.80853139,Kilkenny,Castlecomer,Ireland,"Walking,Natural Landscape"
Achill Cycle Hub,-9.990732595,53.96261007,Mayo,Cashel,Republic of Ireland,"Cycling,Island,Offshore Island"
Glanteenassig Wood,-10.02929126,52.20570913,Kerry,Castlegregory,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Commons Loop,-6.186023506,54.03790008,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Slieve Foye Loop,-6.186023506,54.03790008,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Clogrennane Wood Loop,-6.967048556,52.7390557,Carlow,,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Mangan's Loop,-6.46419554,52.79904862,Wicklow,Tinahely,Republic of Ireland,"Walking,Natural Landscape"
Ballycumber Loop,-6.46419554,52.79904862,Wicklow,Tinahely,Republic of Ireland,"Climbing,Activity Operator,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Kyle Loop,-6.46419554,52.79904862,Wicklow,Tinahely,Republic of Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Druid's Loop,-9.536642639,51.81601273,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
Fionn MacCool Loop,-9.536642639,51.81601273,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
Slí Cholmcille,-8.7147757,54.69970306,Donegal,Glencolmcille,Republic of Ireland,"Walking,Natural Landscape"
Slí Na Finne,-8.116204243,54.86942158,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Slí na Rosann,-8.363375392,54.95176349,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
The Western Way (Mayo),-9.639157354,53.64755661,Mayo,Westport,Republic of Ireland,"Walking,Natural Landscape"
Freshford Loop,-7.399741169,52.73450163,Kilkenny,Freshford,Republic of Ireland,"Walking,Natural Landscape"
Nore Valley Walk (Kilkenny to Bennettsbridge section),-7.229971329,52.64507947,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Lough Avalla Farm Looped Walk,-9.0640874,52.9448216,Clare,Corofin,Ireland,"Walking,Natural Landscape"
Durrow Leafy Loops - Leafy loop,-7.395797616,52.84685234,Laois,,Ireland,"Walking,Natural Landscape"
Walking at the Castlecomer Discovery Park,-7.202379,52.8072,Kilkenny,Castlecomer,Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Carlow Town Walk - Slí na Sláinte,-6.9294889,52.8352498,Carlow,,Ireland,"Walking,Historic Houses and Castle,Public Park,Nature and Wildlife"
Coolmelagh - Prospect Loop,-6.580390652,52.68619666,Wexford,Bunclody,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Castlemorris - Pheasant loop,-7.278881549,52.4705016,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Lough Boora Sculpture Loop,-7.726802,53.220112,Offaly,Tullamore,Ireland,"Walking,Activity Operator,Public Sculpture"
Castlemorris Wood - Holly Loop,-7.27840948,52.47060617,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
O'Gorman's Lane Loop Walk,-7.182288408,52.59235277,Kilkenny,Bennettsbridge,Ireland,"Walking,Natural Landscape"
Nore Valley Walk - (Thomastown to Inistioge Section),-7.133447006,52.51997095,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Monicknew Trails,-7.546328954,53.07598412,Laois,Clonaslee,Ireland,"Walking,Natural Landscape"
Portumna Forest Park - Rinmaher Walking Trail,-8.24849551,53.08303835,Galway,Portumna,Ireland,"Walking,Natural Landscape"
Molly Loop,-6.187984268,54.04327358,Louth,Grange,Ireland,"Walking,Natural Landscape"
Avondale Forest Park - Centenary Trail,-6.226537734,52.916479,Wicklow,Rathdrum,Ireland,"Cycling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Broadford Ashford Walking Trails - Killagholehane Way,-8.972707,52.346003,Limerick,Broadford,Ireland,"Walking,Ruins,Historic Houses and Castle"
Sliabh Liag Pilgrims Path - Cosán an Oilithrigh,-8.661148,54.641357,Donegal,Teelin,Ireland,"Walking,Natural Landscape"
Killaspugbrone Loop,-8.609007109,54.27165261,Sligo,Strandhill,Ireland,"Walking,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Keel Uphill Downhill Loop,-9.756397046,52.17636808,Kerry,Castlemaine,Ireland,"Walking,Natural Landscape"
Windgap Village Loop,-7.398741817,52.46414155,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
Bearna Breac Loop,-7.398690855,52.46418975,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
The Tinahely Loop,-6.455559984,52.7906338,Wicklow,Tinahely,Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Tóchar Daithí Bán,-9.823505,54.024505,Mayo,Westport,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park"
Derrycassin Walks,-7.538751653,53.83076035,Longford,,Republic of Ireland,"Walking,Natural Landscape"
Newcastle Woods,-7.7261067,53.5621238,Longford,,Ireland,"Walking,Natural Landscape"
Ballinamuck Bog Loop,-7.717482949,53.86680946,Longford,Ballinamuck,Ireland,"Walking,Natural Landscape"
The Cavan Way,-8.015072299,54.18990607,Cavan,Dowra,Republic of Ireland,"Walking,Natural Landscape"
Tory Hill - Frochans Loop,-7.17550686,52.36787812,Kilkenny,Mullinavat,Republic of Ireland,"Walking,Natural Landscape"
Cavan Burren Park Walks,-7.877303497,54.29127728,Cavan,Blacklion,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape,Public Park,Nature and Wildlife"
The Suck Valley Way,-8.261744575,53.56965202,Roscommon,Athleague,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Ruins,Historic Houses and Castle"
The East Clare Way,-8.758821524,52.86842175,Clare,Tulla,Republic of Ireland,"Walking,Natural Landscape"
Ballyconnell Canal Loop,-7.583179531,54.11616655,Cavan,Ballyconnell,Ireland,"Walking,Natural Landscape"
Cape Clear Gleann Loop,-9.500268477,51.44171077,Cork,,Ireland,"Walking,Natural Landscape"
Slí Árainn Mhór - Arranmore Island Loop,-8.536290348,54.99633474,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Tullahought Kilmacoliver Loop Walk,-7.373104348,52.42256284,Kilkenny,,Republic of Ireland,"Walking,Natural Landscape"
Durrow Leafy Loops -Dunmore Woods Loop,-7.394424325,52.84768173,Laois,,Ireland,"Walking,Natural Landscape"
Abbeyleix Loops - Killamuck Bog,-7.353079203,52.90683053,Laois,Abbeyleix,Ireland,"Walking,Natural Landscape"
Carrowteige - Black Ditch Loop,-9.987016054,54.22138267,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Carrowteige - Children of Lir Loop,-9.813638063,54.31261173,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Clare Island - Knocknaveen Loop,-9.988141954,53.79245548,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Inishbiggle - Gubnadoogha Loop Walk,-9.908755107,53.99601459,Mayo,Ballycroy,Republic of Ireland,"Walking,Island,Offshore Island"
Achill Island - Dooagh Loop Walk,-10.12428515,53.97290984,Mayo,,Republic of Ireland,"Walking,Natural Landscape"
Mulranny - Lookout Hill Loop,-9.790202396,53.9040112,Mayo,Westport,Republic of Ireland,"Walking,Natural Landscape"
Grange Loops - Rooskey Loop,-6.188670914,54.04287039,Louth,Grange,Ireland,"Walking,Natural Landscape"
Nire Valley Trails - Coumduala Looped Walk,-7.634918817,52.27695718,Waterford,,Ireland,"Walking,Natural Landscape"
Curragh Chase - Glenisca Trail,-8.8690727,52.5914044,Limerick,,Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Inishbiggle - Bull's Mouth Loop Walk,-9.900782034,53.99511637,Mayo,,Republic of Ireland,"Walking,Island,Offshore Island"
Rinn Duin Castle Loop,-8.00432573,53.54419666,Roscommon,,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Ruins"
Cronin's Yard Looped Walk,-9.633459248,52.07367301,Kerry,Beaufort,Republic of Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Emlagh Loop,-10.27308976,51.82468114,Kerry,,Ireland,"Walking,Beach,Natural Landscape"
The Sligo Way,-8.46535,54.2711,Sligo,,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Annaloughan Loop,-6.186023506,54.03790008,Louth,Jenkinstown,Republic of Ireland,"Walking,Natural Landscape"
Glenbarrow Eco Walk,-7.525214605,53.14903874,Laois,,Ireland,"Walking,Natural Landscape"
Great Western Greenway - Castlebar to Turlough,-9.2919368,53.8581124,Mayo,Castlebar,Ireland,"Walking,Natural Landscape"
Monaghan Greenway,-6.9683082,54.2492434,Monaghan,,Ireland,"Walking,Natural Landscape"
Kilronan Castle Loop,-8.1812497,54.0632659,Roscommon,,Ireland,"Walking,Natural Landscape"
Ardmore Cliff Walk,-7.7151578,51.9487668,Waterford,Ardmore,Ireland,"Walking,Natural Landscape"
St. Kevin's Way - Pilgrim Path,-6.599053,53.0918211,Wicklow,Hollywood,Ireland,"Walking,Natural Landscape"
Blackwater Way - Avondhu,-7.9951028,52.2770794,Tipperary,Clogheen,Ireland,"Walking,Natural Landscape"
Ballycastle Sralagagh Walk,-9.3724643,54.2796698,Mayo,Ballycastle,Ireland,"Walking,Natural Landscape"
Slish Wood Forest Walk,-8.4012546,54.2309113,Sligo,,Ireland,"Walking,Natural Landscape"
 Muckish - Lúb Loch Achair,-7.9094676,55.1233497,Donegal,Creeslough,Ireland,"Walking,Natural Landscape"
Benbulben Loop,-8.4744444,54.3666667,Sligo,,Ireland,"Walking,Natural Landscape"
 Belleek Nature Trail,-9.1550693,54.1149482,Mayo,Ballina,Ireland,"Walking,Natural Landscape"
Coole Park Seven Woods Trail,-8.83697,53.0885494,Galway,,Ireland,"Walking,Natural Landscape"
Dunmore Cave,-7.246920942,52.73396787,Kilkenny,Ballyfoyle,Republic of Ireland,"Learning,Museums and Attraction,Cafe,Food and Drink,Tour"
Ballintubber Abbey,-9.2827569,53.7567222,Mayo,Ballintubber,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Dunbrody Abbey and Visitor Centre,-6.95523,52.282115,Wexford,Campile,Ireland,"Craft,Shopping,Walking,Historic Houses and Castle,Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink,Activity Operator,Tour"
Duncannon Fort Tour,-6.9369773,52.2208892,Wexford,Duncannon,Ireland,"Photography,Learning,Historic Houses and Castle,Museums and Attraction,Tour"
Drogheda Museum Millmount,-6.350255038,53.7117854,Louth,Drogheda,Republic of Ireland,"Craft,Shopping,Learning,Museums and Attraction,Artisan,Food and Drink,Restaurant,Cafe,Tour"
The National Garden Exhibition Centre - Arboretum Kilquade,-6.0886734,53.1130485,Wicklow,Kilquade,Ireland,"Restaurant,Gardening,Nature and Wildlife,Gardens,Garden,Food and Drink,Food Shops,Shopping"
Newmills Corn And Flax Mills,-7.8081954,54.9291027,Donegal,,Ireland,Museums and Attraction
Sligo Abbey,-8.4704218,54.270668,Sligo,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Tour"
Hyde Bridge Gallery,-8.474933,54.272077,Sligo,Sligo Town,Republic of Ireland,"Craft,Shopping,Art Gallery"
Lismore Castle Gardens,-7.9328085,52.1398962,Waterford,Lismore,Ireland,"Walking,Gardens,Garden,Cafe,Food and Drink"
Bantry House & Garden,-9.4645065,51.6774722,Cork,Bantry,Ireland,"Historic Houses and Castle,Gardens,Garden,Cafe,Food and Drink,Local Produce,Restaurant,Tour"
Avondale House and Forest Park,-6.2226009,52.9117801,Wicklow,,Ireland,"Historic Houses and Castle,Forest Park,Park and Forest Walk,Walking,Museums and Attraction,Cafe,Food and Drink"
South Mayo Family Research Centre,-9.222428,53.623485,Mayo,Ballinrobe,Republic of Ireland,"Tracing Your Ancestors,Museums and Attraction"
Monaghan County Museum,-6.9724846,54.2478562,Monaghan,,Ireland,"Historic Houses and Castle,Museums and Attraction,Tour"
Larchill Arcadian Gardens,-6.6588015,53.4411683,Meath,,Ireland,"Historic Houses and Castle,Gardens,Garden,Tour"
Croagh Patrick,-9.6597913,53.7599117,Mayo,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Natural Landscape"
Knock Museum,-8.9171533,53.7900043,Mayo,Knock,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink"
Arklow Maritime Museum,-6.1493991,52.7985048,Wicklow,Ferrybank,Ireland,Museums and Attraction
Michael J Quill Centre,-9.46143,51.902656,Kerry,Kilgarvan,Republic of Ireland,Museums and Attraction
Donegal Railway Heritage Centre,-8.1080224,54.656847,Donegal,Milltown,Ireland,"Transport,Activity Operator,Museums and Attraction,Tour,Coach,Road"
Garter Lane Art Gallery,-7.116447,52.262574,Waterford,Waterford City,Republic of Ireland,"Learning,Movies,Cinema,Venue,Activity Operator,Art Gallery,Music"
Waterford County Museum,-7.6194011,52.0886326,Waterford,Dungarvan,Ireland,"Museums and Attraction,Tour"
Kilgarvan Motor Museum,-9.434164,51.889134,Kerry,,Ireland,"Museums and Attraction,Cafe,Food and Drink,Tour"
Pollardstown Fen,-6.845791,53.1835843,Kildare,,Ireland,"Agriculture,Nature and Wildlife,Walking,Natural Landscape"
Sonairte The National Ecology Centre,-6.257022,53.6780762,Meath,Laytown,Ireland,"Agriculture,Nature and Wildlife,Food and Drink,Restaurant,Gardening,Learning,Activity Operator,Natural Landscape,Cafe,Local Produce"
Slea Head Famine Cottages and Sheep Dog Trials,-10.4120564,52.1054048,Kerry,Fahan,Ireland,"Agriculture,Nature and Wildlife,Tracing Your Ancestors,Historic Houses and Castle,Visitor Farm,Activity Operator"
Kilkenny Castle Parkland,-7.2438746,52.6495898,Kilkenny,,Ireland,"Walking,Gardens,Garden,Cafe,Food and Drink"
The Donkey Sanctuary,-8.7942201,52.2649887,Cork,Mallow,Ireland,"Visitor Farm,Cafe,Food and Drink,Tour"
Marl Bog,-8.058619543,52.55037095,Tipperary,Dundrum,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Forest Park,Park and Forest Walk,Natural Landscape,Public Park"
Carey's Castle,-7.707235661,52.35841318,Tipperary,Clonmel,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Castle,Forest Park,Park and Forest Walk,Natural Landscape,Ruins"
Gleninchaquin Park,-9.660638392,51.80198888,Kerry,Tuosist,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Activity Operator,Forest Park,Park and Forest Walk,Natural Landscape,Public Park,Tour"
St Mary's Church,-7.0647193,52.628901,Kilkenny,Gowran,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Hill of Tara,-6.611649,53.5788114,Meath,,Ireland,"Photography,Learning,Walking,Museums and Attraction,Ruins,Historic Houses and Castle,Cafe,Food and Drink,Tour"
River Inny,-7.323131051,53.66843186,Dublin,Swords,Republic of Ireland,"Fishing,Angling,River,Discovery Point"
Lisfannon,-7.481652809,55.09638415,Donegal,Fahan,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Jerpoint Glass Studio,-7.1967314,52.5185184,Kilkenny,Glenmore,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Kenmare Heritage Centre,-9.584642,51.880807,Kerry,Kenmare,Republic of Ireland,Museums and Attraction
Isaac Butt Heritage Centre,-7.9324749,54.8384012,Donegal,,Ireland,Museums and Attraction
Lough Melvin and River Drowes - Drowes Estuary,-8.181053,54.497695,Donegal,Ballyshannon,Ireland,"Fishing,Angling,River,Discovery Point"
Loughcrew Historic Gardens,-7.1437078,53.7344619,Meath,Oldcastle,Ireland,"Walking,Gardens,Garden,Cafe,Food and Drink"
West Cork Music,-9.4489112,51.6804291,Cork,Bantry,Ireland,"Learning,Literary Ireland,Venue,Music"
St Brigid’s Cathedral & Round Tower,-6.911371,53.1579272,Kildare,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Carlow Courthouse,-6.931212085,52.83821114,Carlow,,Republic of Ireland,"Castle,Historic Houses and Castle"
Croppies Grave,-6.9391607,52.8389539,Carlow,,Ireland,Public Sculpture
Duiske Abbey,-6.9546547,52.5411102,Kilkenny,Graiguenamanagh,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Cappoquin House Gardens,-7.8503399,52.1494507,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden,Historic Houses and Castle,Tour"
Newtown Castle,-9.1693861,53.1033782,Clare,Newtown,Ireland,"Walking,Castle,Historic Houses and Castle"
Ballynacourty Gardens,-8.935327,52.643399,Limerick,Ballysteen,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Desmond Hall,-9.060708,52.450419,Limerick,Newcastle West,Republic of Ireland,"Photography,Learning,Historic Houses and Castle,Castle"
Stephen Bennett Studio Gallery,-8.437291,54.78503,Donegal,Ardara,Ireland,"Craft,Shopping,Art Gallery"
Craggaunowen - The Living Past Experience,-8.793649,52.81108,Clare,Kilmurry,Ireland,"Learning,Castle,Historic Houses and Castle,Museums and Attraction"
Carran Medieval Church,-9.0760449,53.0376019,Clare,Carran,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Gleninagh Castle,-9.205829,53.1377228,Clare,,Ireland,"Castle,Historic Houses and Castle"
Kilnaboy Medieval Church and Round Tower,-9.079651,52.972126,Clare,Ennis,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Leamaneh Castle,-9.1399531,52.987804,Clare,,Ireland,"Castle,Historic Houses and Castle"
Quin Abbey,-8.86307,52.8191037,Clare,Quin,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Temple Cronan Early Christian Church,-9.0609731,53.0461692,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Saint Cronan's 10th Century Church Tuamgraney,-8.5393666,52.8966945,Clare,Tuamgraney,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Carrigogunnell Castle,-8.741821,52.646438,Limerick,Limerick City,Republic of Ireland,"Castle,Historic Houses and Castle"
Glenquin Castle,-9.106741,52.3839379,Limerick,Glenquin,Ireland,"Castle,Historic Houses and Castle"
Roscrea Heritage Centre – Roscrea Castle and Damer House,-7.7977979,52.9545928,Tipperary,,Ireland,"Photography,Learning,Castle,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
The Edmund Rice International Heritage Centre,-7.1167957,52.2567373,Waterford,,Ireland,"Learning,Museums and Attraction,Tour"
Dromana Gate,-7.863762522,52.1093223,Waterford,Cappoquin,Republic of Ireland,Historic Houses and Castle
Teach Bán Nua Artist Gallery,-8.4948029,54.32611,Sligo,,Ireland,"Craft,Shopping,Art Gallery"
Cushendale Woollen Mills,-6.9574638,52.5410159,Kilkenny,Graiguenamanagh,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Activity Operator,Historic Houses and Castle,Food Shops"
William Vincent Wallace Plaza,-7.106534,52.2612097,Waterford,,Ireland,Public Sculpture
Ballitore Library & Quaker Museum,-6.814924,53.009722,Kildare,Ballitore,Ireland,Museums and Attraction
Fintown Railway,-8.120414,54.8676191,Donegal,,Ireland,"Transport,Activity Operator,Museums and Attraction,Coach,Road"
Mount Melleray Abbey,-7.8572437,52.1872554,Waterford,Cappoquin,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Cafe,Food and Drink,Food Shops,Shopping"
Kerry Geopark,-9.897747,51.837759,Kerry,Sneem,Republic of Ireland,"Walking,Natural Landscape,Activity Operator"
Dolly's Cottage,-8.5841759,54.270777,Sligo,Strandhill,Ireland,"Castle,Historic Houses and Castle"
Anne Osborne Watercolours,-8.5999892,54.2707875,Sligo,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
Gortavoher,-8.159114741,52.47418845,Tipperary,,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
The Copper Coast UNESCO Global Geopark,-7.3650667,52.1422822,Waterford,Knockmahon,Ireland,"Museums and Attraction,Natural Landscape,Tour"
Famine Warhouse 1848,-7.5222099,52.6193986,Tipperary,Ballingarry,Ireland,"Historic Houses and Castle,Museums and Attraction"
Lislaughtin Franciscan Friary,-9.47861,52.547334,Kerry,Ballylongford,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kerry County Museum,-9.7061565,52.2667702,Kerry,Tralee,Ireland,"Learning,Museums and Attraction,Cafe,Food and Drink,Activity Operator,Food Shops,Shopping,Tour"
The Lartigue Monorailway,-9.490492,52.44965,Kerry,Listowel,Republic of Ireland,"Transport,Activity Operator,Museums and Attraction,Tour,Coach,Road"
Kissane Sheep Farm,-9.6325947,51.9486423,Kerry,,Ireland,"Agriculture,Nature and Wildlife,Visitor Farm,Tour"
The North Mayo Sculpture Trail,-9.163177101,54.12908908,Mayo,Ballina,Republic of Ireland,Public Sculpture
Limerick City Gallery of Art,-8.6284133,52.6589112,Limerick,,Ireland,"Craft,Shopping,Learning,Art Gallery,Cafe,Food and Drink"
Roscrea Castle and Damer House,-7.7981524,52.9551159,Tipperary,Roscrea,Ireland,"Photography,Learning,Historic Houses and Castle,Castle,Gardens,Garden,Museums and Attraction,Tour"
Dunguaire Castle,-8.9261281,53.1422901,Galway,,Ireland,"Food and Drink,Restaurant,Historic Houses and Castle,Castle,Activity Operator,Food Shops,Shopping,Tour"
Clonfert Cathedral,-8.0583679,53.2406887,Galway,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Na Seacht Teampaill,-9.7774213,53.1457447,Galway,Aran Islands,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Rosserk Abbey,-9.1431724,54.1716928,Mayo,Lecarrow,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Stephen Diggin's Studio Gallery,-7.419204,55.128796,Donegal,Buncrana,Ireland,"Craft,Shopping,Art Gallery"
Gáirdín an Ghorta,-7.2605498,52.4744375,Kilkenny,Dunnamaggan,Ireland,"Gardens,Garden"
